"part","day","total_locations","total_houses","hours_home","job2","job_new","age_18_up2","male3","socio_comb","rel_locations","rel_houses","rel_hours"
"1",-15,0.666666666666667,0.2,NA,3,"homemaker","Adult","Female","Homemaker",0,0,NA
"1",0,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"1",1,0,0,12,3,"homemaker","Adult","Female","Homemaker",-0.666666666666667,-0.2,NA
"1",2,1,0,12,3,"homemaker","Adult","Female","Homemaker",0.333333333333333,-0.2,NA
"1",3,1,0,11,3,"homemaker","Adult","Female","Homemaker",0.333333333333333,-0.2,NA
"1",4,0,0,17,3,"homemaker","Adult","Female","Homemaker",-0.666666666666667,-0.2,NA
"1",5,0,0,17,3,"homemaker","Adult","Female","Homemaker",-0.666666666666667,-0.2,NA
"1",6,0,0,17,3,"homemaker","Adult","Female","Homemaker",-0.666666666666667,-0.2,NA
"1",7,0,0,17,3,"homemaker","Adult","Female","Homemaker",-0.666666666666667,-0.2,NA
"1",8,0,0,17,3,"homemaker","Adult","Female","Homemaker",-0.666666666666667,-0.2,NA
"1",9,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"1",10,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"1",11,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"1",12,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"1",13,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"1",14,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"1",30,NA,NA,NA,3,"homemaker","Adult","Female","Homemaker",NA,NA,NA
"2",-15,1.66666666666667,1,9,5,"student","Child","Male","Young student",0,0,0
"2",0,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
"2",1,0,0,17,5,"student","Child","Male","Young student",-1.66666666666667,-1,8
"2",2,0,0,17,5,"student","Child","Male","Young student",-1.66666666666667,-1,8
"2",3,0,0,17,5,"student","Child","Male","Young student",-1.66666666666667,-1,8
"2",4,0,0,17,5,"student","Child","Male","Young student",-1.66666666666667,-1,8
"2",5,0,0,17,5,"student","Child","Male","Young student",-1.66666666666667,-1,8
"2",6,0,0,17,5,"student","Child","Male","Young student",-1.66666666666667,-1,8
"2",7,0,0,17,5,"student","Child","Male","Young student",-1.66666666666667,-1,8
"2",8,0,0,17,5,"student","Child","Male","Young student",-1.66666666666667,-1,8
"2",9,NA,NA,NA,5,"student","Child","Male","Young student",NA,NA,NA
